GET /api -> 200 (3ms)
GET /api/health -> 200 (1ms)
POST /api/auth/login -> 200 (0ms)
POST /api/auth/login -> 404 (1ms)
GET /api/auth/me -> 200 (1ms)
GET /api/auth/me -> 401 (1ms)
GET /api/rooms -> 200 (1ms)
GET /api/rooms?type=computer-lab -> 200 (0ms)
GET /api/rooms?minCapacity=100 -> 200 (1ms)
GET /api/rooms/r1/availability?date=2026-11-04 -> 200 (1ms)
POST /api/bookings -> 201 (2ms)
POST /api/bookings -> 201 (5ms)
POST /api/bookings -> 409 (1ms)
POST /api/bookings -> 400 (1ms)
POST /api/bookings -> 400 (0ms)
POST /api/bookings/bk_0e784f97/approve -> 403 (0ms)
POST /api/bookings/bk_0e784f97/approve -> 200 (1ms)
POST /api/bookings/bk_0e784f97/approve -> 409 (1ms)
GET /api/bookings?mine=true -> 200 (1ms)
GET /api/bookings/bk_0e784f97 -> 200 (1ms)
POST /api/rooms -> 201 (1ms)
POST /api/rooms -> 409 (0ms)
PATCH /api/rooms/r1 -> 409 (0ms)
PATCH /api/users/u1/role -> 409 (1ms)
GET /api/reports/summary -> 200 (0ms)
GET /api/reports/utilisation -> 200 (1ms)
GET /api/reports/bookings-by-room -> 200 (0ms)
